Combinations,Mean Squared Error,Mean Absolute Error
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07776205156591146,0.16761636299178143
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07795425877062648,0.17161176383606075
"['SJR', 'H index', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.07795735790010573,0.1715359846425179
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.0782238467326169,0.174181927308098
"['SJR', 'H index', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07825236610610187,0.1720271847796875
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07827281293798943,0.17204381325739335
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']",0.07834643702753105,0.17075799461957542
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.0789610060324349,0.1753157994524912
"['SJR', 'H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)']",0.07914304824433016,0.17107917711425413
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.07940285953206416,0.1694827243509399
"['SJR', 'H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.0794260521046645,0.17118510274468368
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']",0.07965901530100138,0.17442256844476228
"['SJR', 'Total Docs. (3years)', 'Cites / Doc. (2years)']",0.08003107327537713,0.17432533756797258
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']",0.08017167292203371,0.1742692538749987
"['SJR', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08021046026439212,0.17368582803297106
"['SJR', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08032582181990712,0.17427062629170678
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08040551921033147,0.17412618203052724
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.0805602107557294,0.174406280787691
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08060415317972919,0.17427285953060334
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08069031578943865,0.17298556210059268
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08070605205083618,0.17392740603385057
"['SJR', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08075703113023813,0.17411263229300955
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08080606477212006,0.17444567249480475
"['SJR', 'Total Docs. (2017)', 'Cites / Doc. (2years)']",0.0809043213018512,0.17343930922655493
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08112914445723758,0.17516791375341179
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']",0.08113040462238758,0.1740583223173295
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.0812065142143458,0.17792143790244627
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08123506387613096,0.17445675745080466
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']",0.08126334647565968,0.17352875240849897
"['SJR', 'H index', 'Total Refs.', 'Cites / Doc. (2years)']",0.08141608337605867,0.17270231179666745
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08147803246587502,0.17218946584931133
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']",0.08177887612734866,0.17593189420394637
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']",0.08182183145856539,0.1759187833787983
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08183600338469142,0.1753209542220359
"['SJR', 'Total Cites (3years)', 'Cites / Doc. (2years)']",0.08192888970442197,0.17586696771941196
"['SJR', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08196045268942634,0.17590263894155794
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08202466207533814,0.17443336596024317
"['SJR', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08204257018298106,0.17392445192503495
"['SJR', 'Total Refs.', 'Cites / Doc. (2years)']",0.08256270503360667,0.174745331593435
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08259219487136023,0.17590925638667002
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08261049205421928,0.175393706445131
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08262293470366491,0.17994476373034857
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08292161538106696,0.1768559751191103
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08301637618792139,0.1803662200173816
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08304471036227022,0.17475999835273312
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08316392881060984,0.17860801158591338
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08334442983901677,0.18058432228223495
"['SJR', 'H index', 'Cites / Doc. (2years)']",0.0839998312599496,0.1776022623932983
"['SJR', 'Cites / Doc. (2years)']",0.08410701140363781,0.17777709535295283
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']",0.08430749948389238,0.17915942009086647
"['Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08512237815548959,0.1810174599950227
"['Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08513513458302226,0.17923806673343892
"['Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0851418855603428,0.17925989682460733
"['Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.08514341980672786,0.18115859378278287
